Question,Answer
What is AI?,Artificial Intelligence is the simulation of human intelligence in machines.
What is Machine Learning?,Machine Learning is a subset of AI that learns from data.
What is Deep Learning?,Deep Learning uses neural networks with many layers.
What programming language is used in AI?,Python is the most commonly used language in AI.
What is NLP?,Natural Language Processing enables computers to understand human language.
What is Data Science?,Data Science involves extracting insights from data.
What is the eligibility for college admission?,Eligibility varies by institution and course but generally requires completion of previous academic qualifications.
How can I apply for college admission?,You can apply through the college website or admission portal by submitting the required documents.
What documents are required for admission?,Typically academic certificates identification proof passport-size photos and application forms are required.
Is there an entrance exam for admission?,Many colleges require entrance exams while others offer admission based on merit.
How can I check my admission status?,You can check your admission status through the college admission portal or contact the admissions office.
What is the application fee?,Application fees vary depending on the institution and course.
Can I apply for multiple courses?,Yes many colleges allow students to apply for multiple courses.
Are scholarships available?,Many institutions offer merit-based and need-based scholarships.
What is e-commerce?,E-commerce is the buying and selling of goods and services over the internet.
How can I place an order?,You can place an order by adding products to your cart and completing the checkout process.
What payment methods are accepted?,Most platforms accept credit cards debit cards net banking UPI and digital wallets.
How can I track my order?,You can track your order through the order tracking section of the website or app.
Can I cancel my order?,Orders can usually be canceled before they are shipped.
What is the return policy?,Products can typically be returned within the specified return period if they meet return conditions.
How long does delivery take?,Delivery time depends on the location and shipping method selected.
Are online payments secure?,Most e-commerce websites use encryption and secure payment gateways for protection.
What is a bank account?,A bank account is a financial account maintained by a bank for customers.
How do I open a bank account?,You can open a bank account by submitting the required KYC documents and application form.
What is KYC?,KYC stands for Know Your Customer a process used to verify customer identity.
How can I check my account balance?,You can check your balance through online banking mobile banking ATMs or bank branches.
What is online banking?,Online banking allows customers to access banking services through the internet.
What should I do if I lose my debit card?,Immediately block the card through customer support or mobile banking and request a replacement.
How can I transfer money online?,Money can be transferred using NEFT RTGS IMPS or UPI services.
What is a fixed deposit?,A fixed deposit is a savings instrument where money is invested for a fixed period at a predetermined interest rate.
What are the applications of AI?,AI is used in healthcare finance education transportation and many other industries.
What is Generative AI?,Generative AI creates new content such as text images music and videos.
What is ChatGPT?,ChatGPT is an AI-powered conversational assistant developed by OpenAI.
What are neural networks?,Neural networks are computing systems inspired by the human brain that help machines learn patterns.
What is computer vision?,Computer vision enables computers to understand and analyze images and videos.
What is reinforcement learning?,Reinforcement learning is a machine learning technique where agents learn through rewards and penalties.
What is supervised learning?,Supervised learning uses labeled data to train machine learning models.
What is unsupervised learning?,Unsupervised learning finds patterns and relationships in unlabeled data.
